[2016.10.15_01:42:37]: Polling 20 times per second
Starting camera with hflip=False, vflip=False, resolution=1920x1088, framerate=10

PRESS [ENTER] TO QUIT!

[2016.10.15_01:42:38]: steer | time since last face 1476538957.46s
[2016.10.15_01:42:38]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:38]: steer | time since last face 1476538957.57s
[2016.10.15_01:42:38]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:38]: steer | time since last face 1476538957.68s
[2016.10.15_01:42:38]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:38]: steer | time since last face 1476538957.79s
[2016.10.15_01:42:38]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:38]: steer | time since last face 1476538957.90s
[2016.10.15_01:42:38]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:39]: steer | time since last face 1476538958.01s
[2016.10.15_01:42:39]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:39]: steer | time since last face 1476538958.14s
[2016.10.15_01:42:39]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:39]: steer | time since last face 1476538958.25s
[2016.10.15_01:42:39]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:39]: steer | time since last face 1476538958.36s
[2016.10.15_01:42:39]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:39]: steer | time since last face 1476538958.47s
[2016.10.15_01:42:39]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:39]: steer | time since last face 1476538958.59s
[2016.10.15_01:42:39]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:39]: steer | time since last face 1476538958.76s
[2016.10.15_01:42:39]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:39]: steer | time since last face 1476538958.88s
[2016.10.15_01:42:39]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:40]: steer | time since last face 1476538959.01s
[2016.10.15_01:42:40]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:40]: steer | time since last face 1476538959.16s
[2016.10.15_01:42:40]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:40]: steer | time since last face 1476538959.31s
[2016.10.15_01:42:40]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:40]: steer | time since last face 1476538959.48s
[2016.10.15_01:42:40]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:40]: steer | time since last face 1476538959.60s
[2016.10.15_01:42:40]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:40]: steer | time since last face 1476538959.71s
[2016.10.15_01:42:40]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:40]: steer | time since last face 1476538959.86s
[2016.10.15_01:42:40]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:40]: steer | time since last face 1476538959.99s
[2016.10.15_01:42:40]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:41]: steer | time since last face 1476538960.10s
[2016.10.15_01:42:41]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:41]: steer | time since last face 1476538960.22s
[2016.10.15_01:42:41]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:41]: steer | time since last face 1476538960.40s
[2016.10.15_01:42:41]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:41]: steer | time since last face 1476538960.56s
[2016.10.15_01:42:41]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:41]: steer | time since last face 1476538960.71s
[2016.10.15_01:42:41]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:41]: steer | time since last face 1476538960.90s
[2016.10.15_01:42:41]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:42]: steer | time since last face 1476538961.05s
[2016.10.15_01:42:42]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:42]: steer | time since last face 1476538961.20s
[2016.10.15_01:42:42]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:42]: steer | time since last face 1476538961.33s
[2016.10.15_01:42:42]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:42]: steer | time since last face 1476538961.47s
[2016.10.15_01:42:42]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:42]: steer | time since last face 1476538961.60s
[2016.10.15_01:42:42]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:42]: steer | time since last face 1476538961.72s
[2016.10.15_01:42:42]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:42]: steer | time since last face 1476538961.86s
[2016.10.15_01:42:42]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:42]: steer | time since last face 1476538961.99s
[2016.10.15_01:42:42]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:43]: steer | time since last face 1476538962.12s
[2016.10.15_01:42:43]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:43]: steer | time since last face 1476538962.31s
[2016.10.15_01:42:43]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:43]: steer | time since last face 1476538962.46s
[2016.10.15_01:42:43]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:43]: steer | time since last face 1476538962.61s
[2016.10.15_01:42:43]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:43]: steer | time since last face 1476538962.73s
[2016.10.15_01:42:43]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:43]: steer | time since last face 1476538962.88s
[2016.10.15_01:42:43]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:44]: steer | time since last face 1476538963.00s
[2016.10.15_01:42:44]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:44]: steer | time since last face 1476538963.13s
[2016.10.15_01:42:44]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:44]: steer | time since last face 1476538963.28s
[2016.10.15_01:42:44]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:44]: steer | time since last face 1476538963.42s
[2016.10.15_01:42:44]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:44]: steer | time since last face 1476538963.54s
[2016.10.15_01:42:44]: steer | TODO should go left, right, left,... until new face detected or stop
[2016.10.15_01:42:44]: faces | 1 new face(s) detected, nearest at -2.92%
[2016.10.15_01:42:44]: motor | Last face detected 0.00s ago
[2016.10.15_01:42:44]: motor | Speeding up!
[2016.10.15_01:42:44]: MOTOR | FINAL DECISION SENT: 99.9998998642
[2016.10.15_01:42:44]: steer | time since last face 0.05s
[2016.10.15_01:42:44]: STEER | TURNING: 98.3958333333
[2016.10.15_01:42:44]: motor | Last face detected 0.16s ago
